# @name org.openrewrite.java.spring.table.SpringComponents
# @instanceName Spring component definitions
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,componentType,org1,org2
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/converter/WorkflowInstDomainVersionConverter.java,com.symphony.bdk.workflow.engine.camunda.monitoring.converter.WorkflowInstDomainVersionConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/repository/ActivityCmdaApiQueryRepository.java,com.symphony.bdk.workflow.engine.camunda.monitoring.repository.ActivityCmdaApiQueryRepository,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/repository/VariableCmdaApiQueryRepository.java,com.symphony.bdk.workflow.engine.camunda.monitoring.repository.VariableCmdaApiQueryRepository,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/repository/WorkflowInstCmdaApiQueryRepository.java,com.symphony.bdk.workflow.engine.camunda.monitoring.repository.WorkflowInstCmdaApiQueryRepository,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/DebugExecutor.java,com.symphony.bdk.workflow.engine.executor.DebugExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/message/SendMessageExecutor.java,com.symphony.bdk.workflow.engine.executor.message.SendMessageExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/request/ExecuteRequestExecutor.java,com.symphony.bdk.workflow.engine.executor.request.ExecuteRequestExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/request/client/HttpClient.java,com.symphony.bdk.workflow.engine.executor.request.client.HttpClient,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/AddRoomMemberExecutor.java,com.symphony.bdk.workflow.engine.executor.room.AddRoomMemberExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/HistoricEventActionExecutor.java,com.symphony.bdk.workflow.engine.handler.HistoricEventActionExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/HistoricEventHandler.java,com.symphony.bdk.workflow.engine.handler.HistoricEventHandler,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/audit/AuditTrailLogAction.java,com.symphony.bdk.workflow.engine.handler.audit.AuditTrailLogAction,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/variable/WorkflowEventVariableAction.java,com.symphony.bdk.workflow.engine.handler.variable.WorkflowEventVariableAction,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/shared/DefaultSharedDataStore.java,com.symphony.bdk.workflow.engine.shared.DefaultSharedDataStore,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/DatafeedEventToWorkflowEvent.java,com.symphony.bdk.workflow.event.DatafeedEventToWorkflowEvent,Default,ALL
