# @name org.openrewrite.java.migrate.table.JavaVersionPerSourceSet
# @instanceName Java versions by source set
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,projectName,sourceSetName,createdBy,vmVendor,sourceCompatibility,majorVersionSourceCompatibility,targetCompatibility,org1,org2
github.com,Netflix/ribbon,master,ribbon-examples,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-examples,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-loadbalancer,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-loadbalancer,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon,examples,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-evcache,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-evcache,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-httpclient,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-httpclient,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-transport,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-transport,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-guice,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-guice,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-eureka,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-eureka,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-core,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-core,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-test,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,spring-projects/spring-data-commons,main,Spring Data Core,main,17,Eclipse Adoptium,17,17,17,Default,ALL
github.com,spring-projects/spring-data-commons,main,Spring Data Core,test,17,Eclipse Adoptium,17,17,17,Default,ALL
github.com,spring-projects/spring-petclinic,main,spring-petclinic,main,25.0.2+10-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,spring-projects/spring-petclinic,main,spring-petclinic,test,25.0.2+10-LTS,Eclipse Adoptium,17,17,17,Default,ALL
