# @name io.moderne.prethink.table.TestQualityIssues
# @instanceName Test quality issues
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,className,methodName,issueType,severity,language,evidence,org1,org2
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,pageBreak,poor test name,low,java,"Test method pageBreak() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,anchor,poor test name,low,java,"Test method anchor() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,link,poor test name,low,java,"Test method link() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,inline,poor test name,low,java,"Test method inline() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,lineBreak,poor test name,low,java,"Test method lineBreak() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,text,poor test name,low,java,"Test method text() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,rawText,poor test name,low,java,"Test method rawText() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractSinkTest,comment,poor test name,low,java,"Test method comment() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTestCase.java,org.apache.maven.doxia.sink.impl.AbstractSinkTestCase,apt,missing assertion,medium,java,"Test method apt() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractSinkTestCase.java,org.apache.maven.doxia.sink.impl.AbstractSinkTestCase,apt,poor test name,low,java,"Test method apt() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractXmlSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractXmlSinkTest,nameSpace,poor test name,low,java,"Test method nameSpace() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/AbstractXmlSinkTest.java,org.apache.maven.doxia.sink.impl.AbstractXmlSinkTest,writeEOL,poor test name,low,java,"Test method writeEOL() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/RandomAccessSinkTest.java,org.apache.maven.doxia.sink.impl.RandomAccessSinkTest,simple,poor test name,low,java,"Test method simple() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/RandomAccessSinkTest.java,org.apache.maven.doxia.sink.impl.RandomAccessSinkTest,complex,poor test name,low,java,"Test method complex() has a non-descriptive name. Good test names describe what is being verified, e.g., testUserLoginReturns403WhenPasswordExpired().",Default,ALL
github.com,apache/maven-doxia,master,doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java,org.apache.maven.doxia.sink.impl.SinkAdapterTest,head,missing assertion,medium,java,"Test method head() has no assertions (assert*, verify*, expect*, should*, fail). The test will always pass regardless of behavior.",Default,ALL
