# @name org.openrewrite.table.LanguageCompositionPerFile
# @instanceName Per-file language composition report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,language,sourceFileType,linesOfText,hasParseFailures,org1,org2
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/request/client/HttpClient.java,Java,org.openrewrite.java.tree.J$CompilationUnit,103,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/request/client/Response.java,Java,org.openrewrite.java.tree.J$CompilationUnit,11,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/AddRoomMemberExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,44,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/CreateRoomExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,133,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/DemoteRoomOwnerExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,41,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/GetRoomExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,39,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/GetRoomMembersExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,25,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/GetRoomsExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,98,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/PromoteRoomOwnerExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,42,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/RemoveRoomMemberExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,42,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/room/UpdateRoomExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,112,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/stream/GetStreamExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,38,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/stream/GetStreamMembersExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,36,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/stream/GetStreamsExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,57,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/stream/GetUserStreamsExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,85,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/AddUserRoleExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,28,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/CreateSystemUserExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,17,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/CreateUserExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,134,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/GetUserExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,25,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/GetUsersExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,71,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/RemoveUserRoleExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,28,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/UpdateSystemUserExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,17,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/executor/user/UpdateUserExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,86,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/HistoricEventAction.java,Java,org.openrewrite.java.tree.J$CompilationUnit,8,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/HistoricEventActionExecutor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,12,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/HistoricEventHandler.java,Java,org.openrewrite.java.tree.J$CompilationUnit,35,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/audit/AuditTrailLogAction.java,Java,org.openrewrite.java.tree.J$CompilationUnit,119,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/handler/variable/WorkflowEventVariableAction.java,Java,org.openrewrite.java.tree.J$CompilationUnit,80,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/secret/CryptOperationException.java,Java,org.openrewrite.java.tree.J$CompilationUnit,9,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/secret/DefaultSecretKeeper.java,Java,org.openrewrite.java.tree.J$CompilationUnit,60,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/secret/SecretCryptVault.java,Java,org.openrewrite.java.tree.J$CompilationUnit,173,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/secret/SecretDomain.java,Java,org.openrewrite.java.tree.J$CompilationUnit,47,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/secret/SecretRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,13,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/shared/DefaultSharedDataStore.java,Java,org.openrewrite.java.tree.J$CompilationUnit,31,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/shared/SharedData.java,Java,org.openrewrite.java.tree.J$CompilationUnit,46,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/shared/SharedDataRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,11,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/AbstractRealTimeEventProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,44,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/DatafeedEventToWorkflowEvent.java,Java,org.openrewrite.java.tree.J$CompilationUnit,119,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/EventVisitor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,21,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/RealTimeEventProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,16,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/RequestReceivedEventProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,31,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4ConnectionAcceptedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,15,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4ConnectionRequestedProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/event/V4ElementActionEventProcessor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,80,false,Default,ALL
