# @name org.openrewrite.java.dependencies.table.DependencyListReport
# @instanceName Dependency report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct,resolutionFailure,org1,org2
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-yaml-front-matter,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.jsoup,jsoup,1.22.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.slf4j,slf4j-api,1.7.36,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.jetbrains,annotations,26.1.0,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.apache.maven.doxia,doxia-module-xhtml5,2.1.1-SNAPSHOT,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.codehaus.plexus,plexus-xml,3.0.1,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.apache.maven.doxia,doxia-core,2.1.1-SNAPSHOT,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,org.apache.maven.doxia,doxia-sink-api,2.1.1-SNAPSHOT,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,com.github.java-json-tools,json-schema-validator,2.2.14,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,org.mozilla,rhino,1.7.13,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,com.google.guava,guava,32.1.2-jre,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,com.fasterxml.jackson.core,jackson-core,2.15.2,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,com.fasterxml.jackson.core,jackson-databind,2.15.2,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,commons-io,commons-io,2.11.0,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,org.apache.commons,commons-lang3,3.12.0,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,org.freemarker,freemarker,2.3.34,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,org.slf4j,slf4j-api,1.7.32,true,,Default,ALL
github.com,finos/messageml-utils,main,Maven,org.finos.symphony.messageml,messageml-utils,1.5.0,com.atlassian.commonmark,commonmark,0.15.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,entity-json,10.0.4-SNAPSHOT,com.fasterxml.jackson.core,jackson-annotations,2.19.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,entity-json,10.0.4-SNAPSHOT,com.fasterxml.jackson.core,jackson-databind,2.19.2,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot,chat-workflow,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter-validation,3.5.5,true,,Default,ALL
