repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,projectName,sourceSet,groupId,artifactId,version,datedSnapshotVersion,scope
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.1.9,3.1.9,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.1.9,3.1.9,compile
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.springframework.boot,spring-boot-starter-test,2.6.15,2.6.15,test
github.com,"modernetraining/example-ecom-notification-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-notification-service/blob/main",notification-service,main,org.junit.vintage,junit-vintage-engine,5.8.2,5.8.2,test
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-api,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,order-api,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.example.ecom,ecom-rest-client,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,spring-boot-starter-web,2.5.15,2.5.15,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,"spring-boot-starter-data-jpa",2.5.15,2.5.15,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,spring-boot-starter-amqp,2.5.15,2.5.15,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,"org.springframework.cloud","spring-cloud-starter-openfeign",3.0.7,3.0.7,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,"org.springframework.cloud","spring-cloud-starter-sleuth",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,"org.springframework.cloud","spring-cloud-sleuth-zipkin",3.0.6,3.0.6,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.h2database,h2,1.4.200,1.4.200,runtime
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.springframework.boot,spring-boot-starter-test,2.5.15,2.5.15,test
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,org.junit.vintage,junit-vintage-engine,5.7.2,5.7.2,test
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.mysema.querydsl,querydsl-jpa,3.2.3,3.2.3,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-core,main,com.mysema.querydsl,querydsl-apt,3.2.3,3.2.3,provided
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-client,main,com.example.ecom,order-api,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-client,main,"org.springframework.cloud","spring-cloud-starter-openfeign",3.0.7,3.0.7,compile
github.com,"modernetraining/example-ecom-order-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-order-service/blob/main",order-client,main,com.example.ecom,ecom-rest-client,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,org.springframework.boot,spring-boot-starter-web,2.3.12.RELEASE,2.3.12.RELEASE,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,org.springframework.boot,"spring-boot-starter-data-jpa",2.3.12.RELEASE,2.3.12.RELEASE,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,com.h2database,h2,1.4.200,1.4.200,runtime
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,"org.springframework.cloud","spring-cloud-starter-zipkin",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,org.springframework.boot,spring-boot-starter-test,2.3.12.RELEASE,2.3.12.RELEASE,test
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,com.mysema.querydsl,querydsl-jpa,3.2.3,3.2.3,compile
github.com,"modernetraining/example-ecom-product-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-product-service/blob/main",product-service,main,com.mysema.querydsl,querydsl-apt,3.2.3,3.2.3,provided
github.com,"modernetraining/example-ecom-rest-client",main,GITHUB,"https://github.com/modernetraining/example-ecom-rest-client/blob/main",ecom-rest-client,main,com.example.ecom,ecom-security,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-rest-client",main,GITHUB,"https://github.com/modernetraining/example-ecom-rest-client/blob/main",ecom-rest-client,main,"org.springframework.cloud","spring-cloud-starter-openfeign",3.0.7,3.0.7,compile
github.com,"modernetraining/example-ecom-rest-client",main,GITHUB,"https://github.com/modernetraining/example-ecom-rest-client/blob/main",ecom-rest-client,main,org.springframework.boot,"spring-boot-starter-oauth2-client",2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-rest-client",main,GITHUB,"https://github.com/modernetraining/example-ecom-rest-client/blob/main",ecom-rest-client,main,javax.servlet,javax.servlet-api,4.0.1,4.0.1,provided
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",risk-score-service,main,org.springframework.boot,spring-boot-starter-web,2.3.12.RELEASE,2.3.12.RELEASE,compile
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",risk-score-service,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",risk-score-service,main,"org.springframework.cloud","spring-cloud-starter-sleuth",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",risk-score-service,main,"org.springframework.cloud","spring-cloud-starter-zipkin",2.2.8.RELEASE,2.2.8.RELEASE,compile
github.com,"modernetraining/example-ecom-risk-score-service",main,GITHUB,"https://github.com/modernetraining/example-ecom-risk-score-service/blob/main",risk-score-service,main,org.springframework.boot,spring-boot-starter-test,2.3.12.RELEASE,2.3.12.RELEASE,test
github.com,"modernetraining/example-ecom-security",main,GITHUB,"https://github.com/modernetraining/example-ecom-security/blob/main",ecom-security,main,com.example.ecom,ecom-common,1.0.0,1.0.0,compile
github.com,"modernetraining/example-ecom-security",main,GITHUB,"https://github.com/modernetraining/example-ecom-security/blob/main",ecom-security,main,org.springframework.boot,"spring-boot-starter-security",2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-security",main,GITHUB,"https://github.com/modernetraining/example-ecom-security/blob/main",ecom-security,main,org.springframework.boot,"spring-boot-starter-oauth2-resource-server",2.4.13,2.4.13,compile
github.com,"modernetraining/example-ecom-security",main,GITHUB,"https://github.com/modernetraining/example-ecom-security/blob/main",ecom-security,main,javax.servlet,javax.servlet-api,4.0.1,4.0.1,provided
