repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,lineNumber,getCommitHash,operation,table,column
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/annotation/authentication/NamespaceJdbcUserServiceTests.java",115,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,principal
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/annotation/authentication/NamespaceJdbcUserServiceTests.java",115,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,credentials
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/annotation/authentication/NamespaceJdbcUserServiceTests.java",115,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,true
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/annotation/authentication/NamespaceJdbcUserServiceTests.java",117,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,roles,principal
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/annotation/authentication/NamespaceJdbcUserServiceTests.java",117,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,roles,role
github.com,"spring-projects/spring-security",main,"acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java",76,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_entry,
github.com,"spring-projects/spring-security",main,"acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java",78,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java",95,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,acl_class,id
github.com,"spring-projects/spring-security",main,"acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java",97,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,acl_object_identity,id
github.com,"spring-projects/spring-security",main,"acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java",101,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,acl_sid,id
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",137,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_entry,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",137,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",138,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",138,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",139,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",139,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",140,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",140,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
github.com,"spring-projects/spring-security",main,"acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java",141,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",DELETE,acl_object_identity,
