repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,name,requestedVersion,version
github.com,akveo/nebular,master,GITHUB,"https://github.com/akveo/nebular/blob/master",date-fns,^2.25.0,2.30.0
github.com,un-pany/v3-admin-vite,main,GITHUB,"https://github.com/un-pany/v3-admin-vite/blob/main",dayjs,1.11.11,
github.com,szimek/sharedrop,master,GITHUB,"https://github.com/szimek/sharedrop/blob/master",lodash,^4.17.20,
github.com,Cveinnt/LiveTerm,main,GITHUB,"https://github.com/Cveinnt/LiveTerm/blob/main",axios,^0.27.2,
github.com,"type-challenges/type-challenges",main,GITHUB,"https://github.com/type-challenges/type-challenges/blob/main",js-yaml,^4.1.0,
github.com,"type-challenges/type-challenges",main,GITHUB,"https://github.com/type-challenges/type-challenges/blob/main",js-yaml,^4.1.0,
github.com,mermaid-js/mermaid,develop,GITHUB,"https://github.com/mermaid-js/mermaid/blob/develop",js-yaml,^4.1.0,
github.com,ianstormtaylor/slate,main,GITHUB,"https://github.com/ianstormtaylor/slate/blob/main",lodash,^4.17.21,
github.com,ianstormtaylor/slate,main,GITHUB,"https://github.com/ianstormtaylor/slate/blob/main",lodash,^4.17.21,
github.com,ianstormtaylor/slate,main,GITHUB,"https://github.com/ianstormtaylor/slate/blob/main",lodash,^4.17.21,
github.com,ianstormtaylor/slate,main,GITHUB,"https://github.com/ianstormtaylor/slate/blob/main",lodash,^4.17.21,
github.com,chartbrew/chartbrew,master,GITHUB,"https://github.com/chartbrew/chartbrew/blob/master",lodash,^4.17.20,4.17.21
github.com,chartbrew/chartbrew,master,GITHUB,"https://github.com/chartbrew/chartbrew/blob/master",lodash,^4.17.20,4.17.21
github.com,dolanmiu/docx,master,GITHUB,"https://github.com/dolanmiu/docx/blob/master",nanoid,^5.0.4,5.0.4
github.com,keeweb/keeweb,master,GITHUB,"https://github.com/keeweb/keeweb/blob/master",lodash,^4.17.21,4.17.21
github.com,"vuestorefront/vue-storefront",main,GITHUB,"https://github.com/vuestorefront/vue-storefront/blob/main",axios,^0.27.2,
github.com,"vuestorefront/vue-storefront",main,GITHUB,"https://github.com/vuestorefront/vue-storefront/blob/main",axios,^1.6.7,
github.com,OpenSignLabs/OpenSign,staging,GITHUB,"https://github.com/OpenSignLabs/OpenSign/blob/staging",moment,^2.30.1,
github.com,actionhero/actionhero,main,GITHUB,"https://github.com/actionhero/actionhero/blob/main",uuid,^10.0.0,10.0.0
