repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,sourcePath,className,lineCount,methodCount,fieldCount,wmc,lcom4,tcc,cbo,maintainabilityIndex
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/CanonicalValuesValidator.java","com.sap.scimono.entity.validation.CanonicalValuesValidator",25,3,1,6,1,0.3333333333333333,9,66.96198172663355
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/RequiredSubAttributesValidator.java","com.sap.scimono.entity.validation.RequiredSubAttributesValidator",24,2,1,2,1,1.0,10,62.225350798449035
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/ResourceCustomAttributesValidator.java","com.sap.scimono.entity.validation.ResourceCustomAttributesValidator",60,5,3,10,3,0.1,22,60.53180366186552
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/SchemaBasedAttributeValueValidator.java","com.sap.scimono.entity.validation.SchemaBasedAttributeValueValidator",63,4,2,12,1,0.3333333333333333,21,57.44210786634028
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/ValidationUtil.java","com.sap.scimono.entity.validation.ValidationUtil",14,2,1,2,1,0.0,4,71.06042964761157
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/Validator.java","com.sap.scimono.entity.validation.Validator",4,1,0,1,1,1.0,0,86.73218207594023
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/AddReplaceOperationValueValidator.java","com.sap.scimono.entity.validation.patch.AddReplaceOperationValueValidator",13,1,0,4,1,1.0,8,59.76119994714659
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/AnyOperationPresenceValidator.java","com.sap.scimono.entity.validation.patch.AnyOperationPresenceValidator",13,1,0,3,1,1.0,5,62.06171380210765
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/AttributeMutabilityValidator.java","com.sap.scimono.entity.validation.patch.AttributeMutabilityValidator",14,1,0,3,1,1.0,5,59.96172604661121
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/MandatoryPathValidator.java","com.sap.scimono.entity.validation.patch.MandatoryPathValidator",12,1,0,3,1,1.0,8,61.76672615000186
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/OperationTypeValidator.java","com.sap.scimono.entity.validation.patch.OperationTypeValidator",13,1,0,4,1,1.0,6,60.438526216343185
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/PatchOperationSchemaBasedAttributeValueValidator.java","com.sap.scimono.entity.validation.patch.PatchOperationSchemaBasedAttributeValueValidator",77,4,3,12,1,0.16666666666666666,21,54.44244681227916
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/PatchSchemaPresenceValidator.java","com.sap.scimono.entity.validation.patch.PatchSchemaPresenceValidator",11,1,0,2,1,1.0,6,63.77883437026161
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/PatchValidationException.java","com.sap.scimono.entity.validation.patch.PatchValidationException",24,3,2,3,1,1.0,3,70.66186978740288
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/patch/PatchValidationFramework.java","com.sap.scimono.entity.validation.patch.PatchValidationFramework",121,9,5,15,2,0.16666666666666666,38,59.34021016727634
