repositoryOrigin,repositoryPath,repositoryBranch,buildToolType,buildToolVersion,lstSerializerVersion,timestampEpochMillis,timestampUtc
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691858012094,2023-08-12T16:33:32.094Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857989105,2023-08-12T16:33:09.105Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857939270,2023-08-12T16:32:19.270Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857951133,2023-08-12T16:32:31.133Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857999874,2023-08-12T16:33:19.874Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691858022947,2023-08-12T16:33:42.947Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857966228,2023-08-12T16:32:46.228Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857910386,2023-08-12T16:31:50.386Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857926077,2023-08-12T16:32:06.077Z
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857872700,2023-08-12T16:31:12.700Z
github.com,Netflix/dgs-codegen,master,Gradle,1.2.6,1.33.1,1691894077167,2023-08-13T02:34:37.167Z
github.com,Netflix/dgs-codegen,master,Gradle,1.2.6,1.33.1,1691893936743,2023-08-13T02:32:16.743Z
github.com,Netflix/dgs-codegen,master,Gradle,1.2.6,1.33.1,1691894042635,2023-08-13T02:34:02.635Z
github.com,Netflix/dgs-codegen,master,Gradle,1.2.6,1.33.1,1691894101899,2023-08-13T02:35:01.899Z
github.com,"spring-cloud/spring-cloud-bindings",main,Maven,1.7.1,1.33.1,1691900161282,"2023-08-13T04:16:01.282181095Z"
github.com,"spring-cloud/spring-cloud-bindings",main,Maven,1.7.1,1.33.1,1691900141012,"2023-08-13T04:15:41.012656854Z"
github.com,"spring-cloud/spring-cloud-bindings",main,Maven,1.7.1,1.33.1,1691900178733,"2023-08-13T04:16:18.733857478Z"
github.com,"spring-projects/spring-petclinic",main,Maven,1.7.1,1.33.1,1691877296116,"2023-08-12T21:54:56.116153978Z"
github.com,Netflix/mantis-api,master,Gradle,1.2.6,1.33.1,1691930940449,2023-08-13T12:49:00.449Z
github.com,"spring-projects/spring-kafka",main,Gradle,1.2.6,1.33.1,1691865848177,"2023-08-12T18:44:08.177292795Z"
github.com,"spring-projects/spring-kafka",main,Gradle,1.2.6,1.33.1,1691865674069,"2023-08-12T18:41:14.069247688Z"
github.com,"spring-projects/spring-kafka",main,Gradle,1.2.6,1.33.1,1691865715744,"2023-08-12T18:41:55.744517672Z"
github.com,"spring-projects/spring-kafka",main,Gradle,1.2.6,1.33.1,1691865738828,"2023-08-12T18:42:18.828860192Z"
github.com,"spring-projects/spring-kafka",main,Gradle,1.2.6,1.33.1,1691865820589,"2023-08-12T18:43:40.589383920Z"
github.com,"spring-projects/spring-mvc-showcase",master,Maven,1.7.1,1.33.1,1691923963199,2023-08-13T10:52:43.199Z
github.com,Netflix/photon,master,Gradle,1.2.6,1.33.1,1691887387757,2023-08-13T00:43:07.757Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906136512,2023-08-13T05:55:36.512Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906566906,2023-08-13T06:02:46.906Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906414838,2023-08-13T06:00:14.838Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906080524,2023-08-13T05:54:40.524Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906215390,2023-08-13T05:56:55.390Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906645056,2023-08-13T06:04:05.056Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906449304,2023-08-13T06:00:49.304Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906488663,2023-08-13T06:01:28.663Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906596350,2023-08-13T06:03:16.350Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906538689,2023-08-13T06:02:18.689Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906319400,2023-08-13T05:58:39.400Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906282618,2023-08-13T05:58:02.618Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906819189,2023-08-13T06:06:59.189Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906023779,2023-08-13T05:53:43.779Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906522219,2023-08-13T06:02:02.219Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906392150,2023-08-13T05:59:52.150Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906802084,2023-08-13T06:06:42.084Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906347149,2023-08-13T05:59:07.149Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906773671,2023-08-13T06:06:13.671Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906266607,2023-08-13T05:57:46.607Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906299066,2023-08-13T05:58:19.066Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906690638,2023-08-13T06:04:50.638Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906668783,2023-08-13T06:04:28.783Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906740270,2023-08-13T06:05:40.270Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906370824,2023-08-13T05:59:30.824Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906622655,2023-08-13T06:03:42.655Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906717911,2023-08-13T06:05:17.911Z
github.com,Netflix/dgs-framework,master,Gradle,1.2.6,1.33.1,1691906400524,2023-08-13T06:00:00.524Z
github.com,"Netflix/dgs-examples-java",main,Gradle,1.2.6,1.33.1,1691893212972,"2023-08-13T02:20:12.972223062Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865867054,"2023-08-12T18:44:27.054811Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866305735,"2023-08-12T18:51:45.735003Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866528778,"2023-08-12T18:55:28.778859Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866328608,"2023-08-12T18:52:08.608371Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866573778,"2023-08-12T18:56:13.778264Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865993441,"2023-08-12T18:46:33.441097Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866395265,"2023-08-12T18:53:15.265669Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866453540,"2023-08-12T18:54:13.540558Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865957835,"2023-08-12T18:45:57.835255Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866692507,"2023-08-12T18:58:12.507633Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866017365,"2023-08-12T18:46:57.365005Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866664047,"2023-08-12T18:57:44.047905Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866108491,"2023-08-12T18:48:28.491643Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866259465,"2023-08-12T18:50:59.465194Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865848255,"2023-08-12T18:44:08.255277Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866367684,"2023-08-12T18:52:47.684598Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866233196,"2023-08-12T18:50:33.196341Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866620864,"2023-08-12T18:57:00.864740Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866135228,"2023-08-12T18:48:55.228487Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866190506,"2023-08-12T18:49:50.506201Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865817970,"2023-08-12T18:43:37.970907Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865830753,"2023-08-12T18:43:50.753720Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865935610,"2023-08-12T18:45:35.610528Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866476144,"2023-08-12T18:54:36.144528Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866495725,"2023-08-12T18:54:55.725115Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866282419,"2023-08-12T18:51:22.419575Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866596736,"2023-08-12T18:56:36.736455Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866163531,"2023-08-12T18:49:23.531339Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866725400,"2023-08-12T18:58:45.400342Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865757143,"2023-08-12T18:42:37.143243Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866430500,"2023-08-12T18:53:50.500111Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865973548,"2023-08-12T18:46:13.548336Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691865895054,"2023-08-12T18:44:55.054153Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866074865,"2023-08-12T18:47:54.865928Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866034701,"2023-08-12T18:47:14.701403Z"
github.com,"spring-projects/spring-statemachine",main,Gradle,1.2.6,1.33.1,1691866051212,"2023-08-12T18:47:31.212828Z"
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914930672,2023-08-13T08:22:10.672Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914984267,2023-08-13T08:23:04.267Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915060931,2023-08-13T08:24:20.931Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914725544,2023-08-13T08:18:45.544Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914876266,2023-08-13T08:21:16.266Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915149158,2023-08-13T08:25:49.158Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915337643,2023-08-13T08:28:57.643Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915254701,2023-08-13T08:27:34.701Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914915526,2023-08-13T08:21:55.526Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691914948611,2023-08-13T08:22:28.611Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915173267,2023-08-13T08:26:13.267Z
github.com,Netflix/metacat,master,Gradle,1.2.6,1.33.1,1691915275782,2023-08-13T08:27:55.782Z
